Country,Count
,0
Bangladesh,10
Brunei Darussalam,2
Luxembourg,2
Czech Republic,7
Sweden,23
Ireland,120
Cambodia,9
Singapore,13
Portugal,9
Colombia,11
Ukraine,1
Saudi Arabia,2
"Iran, Islamic Republic of",16
Algeria,1
Slovakia,3
Israel,10
Kenya,6
Malaysia,5
"Taiwan, Province of China",5
Cyprus,2
Nigeria,3
China,224
Armenia,1
Qatar,6
Australia,90
Serbia,1
Libya,2
United Arab Emirates,9
Belgium,12
Thailand,3
El Salvador,2
United Kingdom,185
Germany,173
Canada,227
Barbados,2
Greece,2
Egypt,3
Chile,5
South Africa,8
Peru,1
United States Minor Outlying Islands,1
Japan,38
Ecuador,1
New Zealand,10
Norway,20
Pakistan,4
Brazil,50
Tunisia,5
Morocco,2
Myanmar,1
Mexico,4
Poland,15
Lebanon,3
Indonesia,4
"Palestine, State of",1
Viet Nam,12
Jordan,1
Sri Lanka,33
Finland,20
France,70
Ghana,9
Iceland,1
Hong Kong,15
Sierra Leone,2
Philippines,16
United States,2140
Turkey,4
Netherlands,95
Mauritius,1
Bahrain,1
Spain,27
Italy,20
Oman,5
Argentina,95
India,242
"Korea, Republic of",9
Denmark,7
Trinidad and Tobago,3
Mozambique,1
Seychelles,3
Switzerland,25
Hungary,4
Honduras,2
Russian Federation,24
Romania,13
Austria,262
Lithuania,2
Bulgaria,3
"Moldova, Republic of",3
Nepal,2
